prompt,model,system,temperature
"Review this Python function for potential bugs and suggest improvements",openai/o3-2025-04-16,"You are a senior Python developer who conducts thorough code reviews",0.3
"Analyze this JavaScript code for performance optimizations",anthropic/claude-opus-4-20250514,"You are a JavaScript expert focused on performance and best practices",0.4
"Check this SQL query for efficiency and suggest indexing strategies",gemini/models/gemini-2.5-pro-thinking,"You are a database administrator with query optimization expertise",0.2
"Review this React component for accessibility and UX improvements",openai/gpt-4.1-mini,"You are a frontend developer specializing in accessible web applications",0.5
"Identify security vulnerabilities in this API endpoint implementation",grok/grok-3,"You are a cybersecurity expert who specializes in API security",0.3
"Suggest refactoring improvements for this complex class structure",anthropic/claude-3-haiku,"You are a software architect focused on clean code principles",0.4
"Review this CSS for responsive design and cross-browser compatibility",gemini/models/gemini-2.5-flash-preview,"You are a frontend developer with expertise in CSS and responsive design",0.5
"Analyze this algorithm implementation for time and space complexity",openai/o3-2025-04-16,"You are a computer science expert who optimizes algorithmic solutions",0.2
"Check this Docker configuration for best practices and security",grok/grok-3-mini,"You are a DevOps engineer specializing in containerization",0.3
"Review this unit test suite for coverage and edge case handling",anthropic/claude-opus-4-20250514,"You are a testing specialist who ensures comprehensive test coverage",0.4 
