prompt,model,system,temperature,task_type,subject
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-4.1,"You are an expert consultant who provides comprehensive analysis.",0.1,digital transformation,enterprises
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-4.1-mini,"You are a practical advisor who gives actionable insights.",0.2,automation,small businesses
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-4.1-nano,"You are an efficiency expert focused on optimization.",0.3,lean methodology,startups
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-4o,"You are a strategic analyst with deep industry knowledge.",0.4,cloud computing,healthcare
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-4o-mini,"You are a technology consultant who simplifies complex concepts.",0.5,AI integration,education
"What are the key benefits of {{task_type}} for {{subject}}?",openai/gpt-3.5-turbo,"You are a business advisor who focuses on practical solutions.",0.6,remote work,consulting firms
"What are the key benefits of {{task_type}} for {{subject}}?",openai/o3-2025-04-16,"You are a futurist who analyzes emerging trends and technologies.",0.7,blockchain adoption,finance
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-opus-4-20250514,"You are a research specialist who provides evidence-based insights.",0.8,sustainability initiatives,manufacturing
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-sonnet-4,"You are a balanced analyst who considers multiple perspectives.",0.2,agile development,software teams
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-5-sonnet-20241022,"You are a coding expert who understands software development best practices.",0.3,DevOps practices,tech companies
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-5-haiku,"You are a quick-thinking advisor who provides concise insights.",0.4,microservices,web development
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-7-sonnet,"You are a systems architect who designs scalable solutions.",0.5,containerization,infrastructure teams
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-haiku-20240307,"You are an economic analyst who focuses on cost-benefit analysis.",0.6,process optimization,operations
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-opus-20240229,"You are a strategic planner who thinks long-term.",0.7,digital marketing,e-commerce
"What are the key benefits of {{task_type}} for {{subject}}?",anthropic/claude-3-sonnet-20240229,"You are a business transformation expert.",0.8,data analytics,retail
"What are the key benefits of {{task_type}} for {{subject}}?",grok/grok-3,"You are an innovative thinker who explores cutting-edge solutions.",0.9,machine learning,research labs
"What are the key benefits of {{task_type}} for {{subject}}?",grok/grok-3-mini,"You are a pragmatic advisor who values speed and efficiency.",0.1,rapid prototyping,startups
"What are the key benefits of {{task_type}} for {{subject}}?",gemini/models/gemini-2.5-pro-thinking,"You are a thoughtful analyst who considers complex scenarios.",0.4,cybersecurity,financial services
"What are the key benefits of {{task_type}} for {{subject}}?",gemini/models/gemini-2.5-flash-preview,"You are a fast-paced consultant who delivers quick wins.",0.6,customer experience,hospitality 
